,,,,,,,,,,,,,,,,
,26.02.25(수),,260,주초,주말,TIGER 미국나스닥100 주종가,지수 추세,시장 평가,,Date,TIGER 미국나스닥100 ,Date,KODEX 미국나스닥100레버리지(합성 H),TIGER 미국나스닥100레버리지(합성),ACE 미국빅테크TOP7 Plus레버리지(합성),TIMEFOLIO 미국나스닥100액티브
,14.12.25(목),,,11.10.17(월),11.10.21(금),"₩11,550","₩11,002",-4.74%,,10.12.30(목),"₩11,055",22.03.24(목),"₩7,665","₩11,200",,
,14.12.31(수),,,11.10.24(월),11.10.28(금),"₩11,650","₩11,048",-5.16%,,11.01.03(월),"₩10,930",22.03.25(금),"₩7,940","₩11,605",,
,15.01.01(목),,,11.10.31(월),11.11.04(금),"₩11,570","₩11,086",-4.18%,,11.01.04(화),"₩11,030",22.03.28(월),"₩7,825","₩11,590",,
,15.02.18(수),,,11.11.07(월),11.11.11(금),"₩11,500","₩11,118",-3.32%,,11.01.05(수),"₩11,045",22.03.29(화),"₩8,160","₩11,950",,
,15.02.19(목),,,11.11.14(월),11.11.18(금),"₩11,375","₩11,139",-2.07%,,11.01.06(목),"₩11,110",22.03.30(수),"₩8,410","₩12,110",,
,15.02.20(금),,,11.11.21(월),11.11.25(금),"₩11,060","₩11,138",0.71%,,11.01.07(금),"₩11,155",22.03.31(목),"₩8,305","₩12,005",,
,15.05.01(금),,,11.11.28(월),11.12.02(금),"₩11,465","₩11,164",-2.63%,,11.01.10(월),"₩11,150",22.04.01(금),"₩8,080","₩11,750",,
,15.05.05(화),,,11.12.05(월),11.12.09(금),"₩11,485","₩11,189",-2.58%,,11.01.11(화),"₩11,205",22.04.04(월),"₩8,030","₩11,640",,
,15.05.25(월),,,11.12.12(월),11.12.16(금),"₩11,380","₩11,207",-1.52%,,11.01.12(수),"₩11,180",22.04.05(화),"₩8,285","₩11,990",,
,15.08.14(금),,,11.12.19(월),11.12.23(금),"₩11,550","₩11,233",-2.74%,,11.01.13(목),"₩11,185",22.04.06(수),"₩7,950","₩11,605",,
