,,,,,,,,,,,,,,,,
,26.02.25(수),,260,주초,주말,TIGER 미국나스닥100 주종가,지수 추세,시장 평가,,Date,TIGER 미국나스닥100 ,Date,KODEX 미국나스닥100레버리지(합성 H),TIGER 미국나스닥100레버리지(합성),ACE 미국빅테크TOP7 Plus레버리지(합성),TIMEFOLIO 미국나스닥100액티브
,,,,,,,,,,14.11.14(금),"₩20,595",,,,,
,,,,,,,,,,14.11.17(월),"₩20,710",,,,,
,,,,,,,,,,14.11.18(화),"₩20,730",,,,,
,,,,,,,,,,14.11.19(수),"₩20,935",,,,,
,,,,,,,,,,14.11.20(목),"₩20,960",,,,,
,,,,,,,,,,14.11.21(금),"₩21,055",,,,,
,,,,,,,,,,14.11.24(월),"₩21,095",,,,,
,,,,,,,,,,14.11.25(화),"₩21,365",,,,,
,,,,,,,,,,14.11.26(수),"₩21,220",,,,,
,,,,,,,,,,14.11.27(목),"₩21,250",,,,,
,,,,,,,,,,14.11.28(금),"₩21,290",,,,,
,,,,,,,,,,14.12.01(월),"₩21,460",,,,,
,,,,,,,,,,14.12.02(화),"₩21,230",,,,,
,,,,,,,,,,14.12.03(수),"₩21,420",,,,,
,,,,,,,,,,14.12.04(목),"₩21,545",,,,,
,,,,,,,,,,14.12.05(금),"₩21,430",,,,,
,,,,,,,,,,14.12.08(월),"₩21,525",,,,,
,,,,,,,,,,14.12.09(화),"₩21,295",,,,,
,,,,,,,,,,14.12.10(수),"₩21,190",,,,,
,,,,,,,,,,14.12.11(목),"₩20,725",,,,,
,,,,,,,,,,14.12.12(금),"₩20,950",,,,,
,,,,,,,,,,14.12.15(월),"₩20,620",,,,,
,,,,,,,,,,14.12.16(화),"₩20,345",,,,,
,,,,,,,,,,14.12.17(수),"₩19,825",,,,,
,,,,,,,,,,14.12.18(목),"₩20,520",,,,,
,,,,,,,,,,14.12.19(금),"₩20,995",,,,,
,,,,,,,,,,14.12.22(월),"₩21,035",,,,,
,,,,,,,,,,14.12.23(화),"₩21,105",,,,,
,,,,,,,,,,14.12.24(수),"₩21,140",,,,,
,,,,,,,,,,14.12.26(금),"₩21,130",,,,,
,,,,,,,,,,14.12.29(월),"₩21,160",,,,,
,,,,,,,,,,14.12.30(화),"₩21,190",,,,,
,,,,,,,,,,15.01.02(금),"₩21,015",,,,,
,,,,,,,,,,15.01.05(월),"₩20,985",,,,,
,,,,,,,,,,15.01.06(화),"₩20,580",,,,,
,,,,,,,,,,15.01.07(수),"₩20,195",,,,,
,,,,,,,,,,15.01.08(목),"₩20,645",,,,,
,,,,,,,,,,15.01.09(금),"₩20,645",,,,,
,,,,,,,,,,15.01.12(월),"₩20,335",,,,,
,,,,,,,,,,15.01.13(화),"₩20,225",,,,,
,,,,,,,,,,15.01.14(수),"₩20,055",,,,,
,,,,,,,,,,15.01.15(목),"₩20,175",,,,,
,,,,,,,,,,15.01.16(금),"₩19,495",,,,,
,,,,,,,,,,15.01.19(월),"₩19,920",,,,,
,,,,,,,,,,15.01.20(화),"₩20,150",,,,,
,,,,,,,,,,15.01.21(수),"₩20,210",,,,,
,,,,,,,,,,15.01.22(목),"₩20,290",,,,,
,,,,,,,,,,15.01.23(금),"₩20,650",,,,,
,,,,,,,,,,15.01.26(월),"₩20,545",,,,,
,,,,,,,,,,15.01.27(화),"₩20,610",,,,,
,,,,,,,,,,15.01.28(수),"₩20,415",,,,,
,,,,,,,,,,15.01.29(목),"₩20,155",,,,,
,,,,,,,,,,15.01.30(금),"₩20,435",,,,,
,,,,,,,,,,15.02.02(월),"₩20,445",,,,,
,,,,,,,,,,15.02.03(화),"₩20,460",,,,,
,,,,,,,,,,15.02.04(수),"₩20,450",,,,,
,,,,,,,,,,15.02.05(목),"₩20,470",,,,,
,,,,,,,,,,15.02.06(금),"₩20,690",,,,,
,,,,,,,,,,15.02.09(월),"₩20,590",,,,,
,,,,,,,,,,15.02.10(화),"₩20,535",,,,,
,,,,,,,,,,15.02.11(수),"₩20,960",,,,,
,,,,,,,,,,15.02.12(목),"₩21,240",,,,,
,,,,,,,,,,15.02.13(금),"₩21,315",,,,,
,,,,,,,,,,15.02.16(월),"₩21,550",,,,,
,,,,,,,,,,15.02.17(화),"₩21,565",,,,,
,,,,,,,,,,15.02.23(월),"₩22,000",,,,,
,,,,,,,,,,15.02.24(화),"₩22,040",,,,,
,,,,,,,,,,15.02.25(수),"₩21,795",,,,,
,,,,,,,,,,15.02.26(목),"₩21,795",,,,,
,,,,,,,,,,15.02.27(금),"₩21,885",,,,,
,,,,,,,,,,15.03.02(월),"₩21,860",,,,,
,,,,,,,,,,15.03.03(화),"₩21,955",,,,,
,,,,,,,,,,15.03.04(수),"₩21,845",,,,,
,,,,,,,,,,15.03.05(목),"₩21,855",,,,,
,,,,,,,,,,15.03.06(금),"₩21,850",,,,,
,,,,,,,,,,15.03.09(월),"₩21,820",,,,,
,,,,,,,,,,15.03.10(화),"₩22,045",,,,,
,,,,,,,,,,15.03.11(수),"₩21,840",,,,,
,,,,,,,,,,15.03.12(목),"₩21,730",,,,,
,,,,,,,,,,15.03.13(금),"₩21,925",,,,,
,,,,,,,,,,15.03.16(월),"₩21,865",,,,,
,,,,,,,,,,15.03.17(화),"₩21,985",,,,,
,,,,,,,,,,15.03.18(수),"₩22,125",,,,,
,,,,,,,,,,15.03.19(목),"₩22,100",,,,,
,,,,,,,,,,15.03.20(금),"₩22,245",,,,,
,,,,,,,,,,15.03.23(월),"₩22,250",,,,,
,,,,,,,,,,15.03.24(화),"₩21,980",,,,,
,,,,,,,,,,15.03.25(수),"₩21,820",,,,,
,,,,,,,,,,15.03.26(목),"₩21,420",,,,,
,,,,,,,,,,15.03.27(금),"₩21,305",,,,,
,,,,,,,,,,15.03.30(월),"₩21,490",,,,,
,,,,,,,,,,15.03.31(화),"₩21,685",,,,,
,,,,,,,,,,15.04.01(수),"₩21,205",,,,,
,,,,,,,,,,15.04.02(목),"₩21,090",,,,,
,,,,,,,,,,15.04.03(금),"₩21,085",,,,,
,,,,,,,,,,15.04.06(월),"₩20,775",,,,,
,,,,,,,,,,15.04.07(화),"₩21,160",,,,,
,,,,,,,,,,15.04.08(수),"₩21,175",,,,,
,,,,,,,,,,15.04.09(목),"₩21,285",,,,,
,,,,,,,,,,15.04.10(금),"₩21,510",,,,,
,,,,,,,,,,15.04.13(월),"₩21,655",,,,,
,,,,,,,,,,15.04.14(화),"₩21,595",,,,,
,,,,,,,,,,15.04.15(수),"₩21,530",,,,,
,,,,,,,,,,15.04.16(목),"₩21,565",,,,,
,,,,,,,,,,15.04.17(금),"₩21,385",,,,,
,,,,,,,,,,15.04.20(월),"₩21,035",,,,,
,,,,,,,,,,15.04.21(화),"₩21,420",,,,,
,,,,,,,,,,15.04.22(수),"₩21,430",,,,,
,,,,,,,,,,15.04.23(목),"₩21,560",,,,,
,,,,,,,,,,15.04.24(금),"₩21,650",,,,,
,,,,,,,,,,15.04.27(월),"₩21,760",,,,,
,,,,,,,,,,15.04.28(화),"₩21,640",,,,,
,,,,,,,,,,15.04.29(수),"₩21,520",,,,,
,,,,,,,,,,15.04.30(목),"₩21,420",,,,,
,,,,,,,,,,15.05.04(월),"₩21,575",,,,,
,,,,,,,,,,15.05.06(수),"₩21,260",,,,,
,,,,,,,,,,15.05.07(목),"₩21,310",,,,,
,,,,,,,,,,15.05.08(금),"₩21,400",,,,,
,,,,,,,,,,15.05.11(월),"₩21,785",,,,,
,,,,,,,,,,15.05.12(화),"₩21,695",,,,,
,,,,,,,,,,15.05.13(수),"₩21,725",,,,,
,,,,,,,,,,15.05.14(목),"₩21,590",,,,,
,,,,,,,,,,15.05.15(금),"₩21,820",,,,,
,,,,,,,,,,15.05.18(월),"₩21,800",,,,,
,,,,,,,,,,15.05.19(화),"₩21,985",,,,,
,,,,,,,,,,15.05.20(수),"₩22,055",,,,,
,,,,,,,,,,15.05.21(목),"₩21,955",,,,,
,,,,,,,,,,15.05.22(금),"₩22,100",,,,,
,,,,,,,,,,15.05.26(화),"₩22,250",,,,,
,,,,,,,,,,15.05.27(수),"₩22,110",,,,,
,,,,,,,,,,15.05.28(목),"₩22,480",,,,,
,,,,,,,,,,15.05.29(금),"₩22,485",,,,,
,,,,,,,,,,15.06.01(월),"₩22,440",,,,,
,,,,,,,,,,15.06.02(화),"₩22,475",,,,,
,,,,,,,,,,15.06.03(수),"₩22,300",,,,,
,,,,,,,,,,15.06.04(목),"₩22,415",,,,,
,,,,,,,,,,15.06.05(금),"₩22,250",,,,,
,,,,,,,,,,15.06.08(월),"₩22,435",,,,,
,,,,,,,,,,15.06.09(화),"₩22,200",,,,,
,,,,,,,,,,15.06.10(수),"₩21,985",,,,,
,,,,,,,,,,15.06.11(목),"₩22,220",,,,,
,,,,,,,,,,15.06.12(금),"₩22,355",,,,,
,,,,,,,,,,15.06.15(월),"₩22,200",,,,,
,,,,,,,,,,15.06.16(화),"₩22,140",,,,,
,,,,,,,,,,15.06.17(수),"₩22,300",,,,,
,,,,,,,,,,15.06.18(목),"₩22,085",,,,,
,,,,,,,,,,15.06.19(금),"₩22,395",,,,,
,,,,,,,,,,15.06.22(월),"₩22,185",,,,,
,,,,,,,,,,15.06.23(화),"₩22,540",,,,,
,,,,,,,,,,15.06.24(수),"₩22,560",,,,,
,,,,,,,,,,15.06.25(목),"₩22,495",,,,,
,,,,,,,,,,15.06.26(금),"₩22,470",,,,,
,,,,,,,,,,15.06.29(월),"₩22,260",,,,,
,,,,,,,,,,15.06.30(화),"₩21,925",,,,,
,,,,,,,,,,15.07.01(수),"₩22,035",,,,,
,,,,,,,,,,15.07.02(목),"₩22,240",,,,,
,,,,,,,,,,15.07.03(금),"₩22,255",,,,,
,,,,,,,,,,15.07.06(월),"₩22,080",,,,,
,,,,,,,,,,15.07.07(화),"₩22,385",,,,,
,,,,,,,,,,15.07.08(수),"₩22,360",,,,,
,,,,,,,,,,15.07.09(목),"₩22,255",,,,,
,,,,,,,,,,15.07.10(금),"₩22,240",,,,,
,,,,,,,,,,15.07.13(월),"₩22,330",,,,,
,,,,,,,,,,15.07.14(화),"₩22,985",,,,,
,,,,,,,,,,15.07.15(수),"₩23,130",,,,,
,,,,,,,,,,15.07.16(목),"₩23,290",,,,,
,,,,,,,,,,15.07.17(금),"₩23,605",,,,,
,,,,,,,,,,15.07.20(월),"₩24,050",,,,,
,,,,,,,,,,15.07.21(화),"₩24,295",,,,,
,,,,,,,,,,15.07.22(수),"₩23,795",,,,,
,,,,,,,,,,15.07.23(목),"₩24,185",,,,,
,,,,,,,,,,15.07.24(금),"₩24,090",,,,,
,,,,,,,,,,15.07.27(월),"₩23,810",,,,,
,,,,,,,,,,15.07.28(화),"₩23,600",,,,,
,,,,,,,,,,15.07.29(수),"₩23,625",,,,,
,,,,,,,,,,15.07.30(목),"₩23,955",,,,,
,,,,,,,,,,15.07.31(금),"₩24,080",,,,,
,,,,,,,,,,15.08.03(월),"₩23,890",,,,,
,,,,,,,,,,15.08.04(화),"₩23,895",,,,,
,,,,,,,,,,15.08.05(수),"₩24,030",,,,,
,,,,,,,,,,15.08.06(목),"₩23,935",,,,,
,,,,,,,,,,15.08.07(금),"₩23,700",,,,,
,,,,,,,,,,15.08.10(월),"₩23,615",,,,,
,,,,,,,,,,15.08.11(화),"₩24,050",,,,,
,,,,,,,,,,15.08.12(수),"₩23,905",,,,,
,,,,,,,,,,15.08.13(목),"₩23,855",,,,,
,,,,,,,,,,15.08.17(월),"₩23,975",,,,,
,,,,,,,,,,15.08.18(화),"₩24,220",,,,,
,,,,,,,,,,15.08.19(수),"₩24,035",,,,,
,,,,,,,,,,15.08.20(목),"₩23,945",,,,,
,,,,,,,,,,15.08.21(금),"₩23,315",,,,,
,,,,,,,,,,15.08.24(월),"₩21,650",,,,,
,,,,,,,,,,15.08.25(화),"₩21,810",,,,,
,,,,,,,,,,15.08.26(수),"₩21,635",,,,,
,,,,,,,,,,15.08.27(목),"₩22,415",,,,,
,,,,,,,,,,15.08.28(금),"₩22,705",,,,,
,,,,,,,,,,15.08.31(월),"₩22,765",,,,,
,,,,,,,,,,15.09.01(화),"₩21,985",,,,,
,,,,,,,,,,15.09.02(수),"₩22,100",,,,,
,,,,,,,,,,15.09.03(목),"₩22,640",,,,,
,,,,,,,,,,15.09.04(금),"₩22,410",,,,,
,,,,,,,,,,15.09.07(월),"₩22,655",,,,,
,,,,,,,,,,15.09.08(화),"₩22,580",,,,,
,,,,,,,,,,15.09.09(수),"₩23,135",,,,,
,,,,,,,,,,15.09.10(목),"₩22,870",,,,,
,,,,,,,,,,15.09.11(금),"₩22,870",,,,,
,,,,,,,,,,15.09.14(월),"₩22,950",,,,,
,,,,,,,,,,15.09.15(화),"₩22,835",,,,,
,,,,,,,,,,15.09.16(수),"₩22,955",,,,,
,,,,,,,,,,15.09.17(목),"₩22,845",,,,,
,,,,,,,,,,15.09.18(금),"₩22,885",,,,,
,,,,,,,,,,15.09.21(월),"₩22,700",,,,,
,,,,,,,,,,15.09.22(화),"₩22,890",,,,,
,,,,,,,,,,15.09.23(수),"₩22,580",,,,,
,,,,,,,,,,15.09.24(목),"₩22,765",,,,,
,,,,,,,,,,15.09.25(금),"₩22,855",,,,,
,,,,,,,,,,15.09.30(수),"₩21,900",,,,,
,,,,,,,,,,15.10.01(목),"₩22,310",,,,,
,,,,,,,,,,15.10.02(금),"₩22,205",,,,,
,,,,,,,,,,15.10.05(월),"₩22,475",,,,,
,,,,,,,,,,15.10.06(화),"₩22,560",,,,,
,,,,,,,,,,15.10.07(수),"₩22,520",,,,,
,,,,,,,,,,15.10.08(목),"₩22,365",,,,,
,,,,,,,,,,15.10.12(월),"₩22,435",,,,,
,,,,,,,,,,15.10.13(화),"₩22,515",,,,,
,,,,,,,,,,15.10.14(수),"₩22,325",,,,,
,,,,,,,,,,15.10.15(목),"₩22,210",,,,,
,,,,,,,,,,15.10.16(금),"₩22,385",,,,,
,,,,,,,,,,15.10.19(월),"₩22,270",,,,,
,,,,,,,,,,15.10.20(화),"₩22,520",,,,,
,,,,,,,,,,15.10.21(수),"₩22,595",,,,,
,,,,,,,,,,15.10.22(목),"₩22,450",,,,,
,,,,,,,,,,15.10.23(금),"₩22,790",,,,,
,,,,,,,,,,15.10.26(월),"₩23,375",,,,,
,,,,,,,,,,15.10.27(화),"₩23,270",,,,,
,,,,,,,,,,15.10.28(수),"₩23,480",,,,,
,,,,,,,,,,15.10.29(목),"₩23,725",,,,,
,,,,,,,,,,15.10.30(금),"₩23,860",,,,,
,,,,,,,,,,15.11.02(월),"₩23,570",,,,,
,,,,,,,,,,15.11.03(화),"₩23,800",,,,,
,,,,,,,,,,15.11.04(수),"₩23,865",,,,,
,,,,,,,,,,15.11.05(목),"₩24,025",,,,,
,,,,,,,,,,15.11.06(금),"₩23,935",,,,,
,,,,,,,,,,15.11.09(월),"₩24,460",,,,,
,,,,,,,,,,15.11.10(화),"₩24,210",,,,,
,,,,,,,,,,15.11.11(수),"₩23,980",,,,,
,,,,,,,,,,15.11.12(목),"₩24,105",,,,,
,,,,,,,,,,15.11.13(금),"₩23,885",,,,,
,,,,,,,,,,15.11.16(월),"₩23,565",,,,,
,,,,,,,,,,15.11.17(화),"₩23,995",,,,,
,,,,,,,,,,15.11.18(수),"₩23,920",,,,,
,,,,,,,,,,15.11.19(목),"₩24,295",,,,,
,,,,,,,,,,15.11.20(금),"₩24,115",,,,,
,,,,,,,,,,15.11.23(월),"₩24,400",,,,,
,,,,,,,,,,15.11.24(화),"₩24,195",,,,,
,,,,,,,,,,15.11.25(수),"₩24,000",,,,,
,,,,,,,,,,15.11.26(목),"₩24,095",,,,,
,,,,,,,,,,15.11.27(금),"₩24,195",,,,,
,,,,,,,,,,15.11.30(월),"₩24,300",,,,,
,,,,,,,,,,15.12.01(화),"₩24,390",,,,,
,,,,,,,,,,15.12.02(수),"₩24,600",,,,,
,,,,,,,,,,15.12.03(목),"₩24,560",,,,,
,,,,,,,,,,15.12.04(금),"₩23,965",,,,,
,,,,,,,,,,15.12.07(월),"₩24,680",,,,,
,,,,,,,,,,15.12.08(화),"₩24,700",,,,,
,,,,,,,,,,15.12.09(수),"₩24,920",,,,,
,,,,,,,,,,15.12.10(목),"₩24,610",,,,,
,,,,,,,,,,15.12.11(금),"₩24,650",,,,,
,,,,,,,,,,15.12.14(월),"₩24,245",,,,,
,,,,,,,,,,15.12.15(화),"₩24,310",,,,,
,,,,,,,,,,15.12.16(수),"₩24,350",,,,,
,,,,,,,,,,15.12.17(목),"₩24,655",,,,,
,,,,,,,,,,15.12.18(금),"₩24,380",,,,,
,,,,,,,,,,15.12.21(월),"₩24,010",,,,,
,,,,,,,,,,15.12.22(화),"₩24,065",,,,,
,,,,,,,,,,15.12.23(수),"₩24,155",,,,,
,,,,,,,,,,15.12.24(목),"₩24,250",,,,,
,,,,,,,,,,15.12.28(월),"₩24,240",,,,,
,,,,,,,,,,15.12.29(화),"₩24,290",,,,,
,,,,,,,,,,15.12.30(수),"₩24,695",,,,,
,,,,,,,,,,15.12.31(목),"₩24,695",,,,,
,,,,,,,,,,16.01.04(월),"₩24,240",,,,,
,,,,,,,,,,16.01.05(화),"₩24,020",,,,,
,,,,,,,,,,16.01.06(수),"₩23,915",,,,,
,,,,,,,,,,16.01.07(목),"₩23,580",,,,,
,,,,,,,,,,16.01.08(금),"₩23,395",,,,,
,,,,,,,,,,16.01.11(월),"₩23,170",,,,,
,,,,,,,,,,16.01.12(화),"₩23,165",,,,,
,,,,,,,,,,16.01.13(수),"₩23,640",,,,,
,,,,,,,,,,16.01.14(목),"₩22,880",,,,,
,,,,,,,,,,16.01.15(금),"₩23,130",,,,,
,,,,,,,,,,16.01.18(월),"₩22,605",,,,,
,,,,,,,,,,16.01.19(화),"₩22,670",,,,,
,,,,,,,,,,16.01.20(수),"₩22,155",,,,,
,,,,,,,,,,16.01.21(목),"₩22,470",,,,,
,,,,,,,,,,16.01.22(금),"₩22,600",,,,,
,,,,,,,,,,16.01.25(월),"₩22,800",,,,,
,,,,,,,,,,16.01.26(화),"₩22,640",,,,,
,,,,,,,,,,16.01.27(수),"₩22,730",,,,,
,,,,,,,,,,16.01.28(목),"₩22,555",,,,,
,,,,,,,,,,16.01.29(금),"₩22,685",,,,,
,,,,,,,,,,16.02.01(월),"₩22,990",,,,,
,,,,,,,,,,16.02.02(화),"₩22,970",,,,,
,,,,,,,,,,16.02.03(수),"₩22,865",,,,,
,,,,,,,,,,16.02.04(목),"₩22,645",,,,,
,,,,,,,,,,16.02.05(금),"₩22,365",,,,,
,,,,,,,,,,16.02.11(목),"₩21,325",,,,,
,,,,,,,,,,16.02.12(금),"₩21,610",,,,,
,,,,,,,,,,16.02.15(월),"₩22,155",,,,,
,,,,,,,,,,16.02.16(화),"₩22,565",,,,,
,,,,,,,,,,16.02.17(수),"₩22,500",,,,,
,,,,,,,,,,16.02.18(목),"₩23,185",,,,,
,,,,,,,,,,16.02.19(금),"₩23,105",,,,,
,,,,,,,,,,16.02.22(월),"₩23,205",,,,,
,,,,,,,,,,16.02.23(화),"₩23,270",,,,,
,,,,,,,,,,16.02.24(수),"₩23,050",,,,,
,,,,,,,,,,16.02.25(목),"₩23,395",,,,,
,,,,,,,,,,16.02.26(금),"₩23,625",,,,,
,,,,,,,,,,16.02.29(월),"₩23,395",,,,,
,,,,,,,,,,16.03.02(수),"₩24,020",,,,,
,,,,,,,,,,16.03.03(목),"₩23,775",,,,,
,,,,,,,,,,16.03.04(금),"₩23,425",,,,,
,,,,,,,,,,16.03.07(월),"₩23,340",,,,,
,,,,,,,,,,16.03.08(화),"₩23,265",,,,,
,,,,,,,,,,16.03.09(수),"₩23,390",,,,,
,,,,,,,,,,16.03.10(목),"₩23,230",,,,,
,,,,,,,,,,16.03.11(금),"₩23,195",,,,,
,,,,,,,,,,16.03.14(월),"₩23,265",,,,,
,,,,,,,,,,16.03.15(화),"₩23,280",,,,,
,,,,,,,,,,16.03.16(수),"₩23,430",,,,,
,,,,,,,,,,16.03.17(목),"₩23,290",,,,,
,,,,,,,,,,16.03.18(금),"₩23,010",,,,,
,,,,,,,,,,16.03.21(월),"₩23,015",,,,,
,,,,,,,,,,16.03.22(화),"₩22,970",,,,,
,,,,,,,,,,16.03.23(수),"₩23,145",,,,,
,,,,,,,,,,16.03.24(목),"₩23,070",,,,,
,,,,,,,,,,16.03.25(금),"₩23,230",,,,,
,,,,,,,,,,16.03.28(월),"₩23,195",,,,,
,,,,,,,,,,16.03.29(화),"₩23,010",,,,,
,,,,,,,,,,16.03.30(수),"₩23,150",,,,,
,,,,,,,,,,16.03.31(목),"₩23,055",,,,,
,,,,,,,,,,16.04.01(금),"₩23,140",,,,,
,,,,,,,,,,16.04.04(월),"₩23,395",,,,,
,,,,,,,,,,16.04.05(화),"₩23,380",,,,,
,,,,,,,,,,16.04.06(수),"₩23,340",,,,,
,,,,,,,,,,16.04.07(목),"₩23,505",,,,,
,,,,,,,,,,16.04.08(금),"₩23,270",,,,,
,,,,,,,,,,16.04.11(월),"₩23,100",,,,,
,,,,,,,,,,16.04.12(화),"₩22,935",,,,,
,,,,,,,,,,16.04.14(목),"₩23,650",,,,,
,,,,,,,,,,16.04.15(금),"₩23,520",,,,,
,,,,,,,,,,16.04.18(월),"₩23,355",,,,,
,,,,,,,,,,16.04.19(화),"₩23,420",,,,,
,,,,,,,,,,16.04.20(수),"₩23,090",,,,,
,,,,,,,,,,16.04.21(목),"₩23,195",,,,,
,,,,,,,,,,16.04.22(금),"₩23,225",,,,,
,,,,,,,,,,16.04.25(월),"₩23,110",,,,,
,,,,,,,,,,16.04.26(화),"₩23,110",,,,,
,,,,,,,,,,16.04.27(수),"₩22,770",,,,,
,,,,,,,,,,16.04.28(목),"₩22,565",,,,,
,,,,,,,,,,16.04.29(금),"₩22,385",,,,,
,,,,,,,,,,16.05.02(월),"₩22,200",,,,,
,,,,,,,,,,16.05.03(화),"₩22,360",,,,,
,,,,,,,,,,16.05.04(수),"₩22,520",,,,,
,,,,,,,,,,16.05.09(월),"₩22,730",,,,,
,,,,,,,,,,16.05.10(화),"₩22,980",,,,,
,,,,,,,,,,16.05.11(수),"₩23,080",,,,,
,,,,,,,,,,16.05.12(목),"₩22,865",,,,,
,,,,,,,,,,16.05.13(금),"₩22,785",,,,,
,,,,,,,,,,16.05.16(월),"₩22,875",,,,,
,,,,,,,,,,16.05.17(화),"₩23,075",,,,,
,,,,,,,,,,16.05.18(수),"₩23,000",,,,,
,,,,,,,,,,16.05.19(목),"₩23,215",,,,,
,,,,,,,,,,16.05.20(금),"₩23,215",,,,,
,,,,,,,,,,16.05.23(월),"₩23,230",,,,,
,,,,,,,,,,16.05.24(화),"₩23,320",,,,,
,,,,,,,,,,16.05.25(수),"₩23,735",,,,,
,,,,,,,,,,16.05.26(목),"₩23,790",,,,,
,,,,,,,,,,16.05.27(금),"₩23,850",,,,,
,,,,,,,,,,16.05.30(월),"₩24,280",,,,,
,,,,,,,,,,16.05.31(화),"₩24,310",,,,,
,,,,,,,,,,16.06.01(수),"₩24,330",,,,,
,,,,,,,,,,16.06.02(목),"₩24,080",,,,,
,,,,,,,,,,16.06.03(금),"₩24,150",,,,,
,,,,,,,,,,16.06.07(화),"₩23,705",,,,,
,,,,,,,,,,16.06.08(수),"₩23,485",,,,,
,,,,,,,,,,16.06.09(목),"₩23,465",,,,,
,,,,,,,,,,16.06.10(금),"₩23,585",,,,,
,,,,,,,,,,16.06.13(월),"₩23,475",,,,,
,,,,,,,,,,16.06.14(화),"₩23,320",,,,,
,,,,,,,,,,16.06.15(수),"₩23,375",,,,,
,,,,,,,,,,16.06.16(목),"₩23,105",,,,,
,,,,,,,,,,16.06.17(금),"₩23,365",,,,,
,,,,,,,,,,16.06.20(월),"₩23,110",,,,,
,,,,,,,,,,16.06.21(화),"₩22,960",,,,,
,,,,,,,,,,16.06.22(수),"₩22,925",,,,,
,,,,,,,,,,16.06.23(목),"₩22,905",,,,,
,,,,,,,,,,16.06.24(금),"₩22,560",,,,,
,,,,,,,,,,16.06.27(월),"₩22,680",,,,,
,,,,,,,,,,16.06.28(화),"₩22,430",,,,,
,,,,,,,,,,16.06.29(수),"₩22,505",,,,,
,,,,,,,,,,16.06.30(목),"₩22,635",,,,,
,,,,,,,,,,16.07.01(금),"₩22,770",,,,,
,,,,,,,,,,16.07.04(월),"₩22,935",,,,,
,,,,,,,,,,16.07.05(화),"₩22,960",,,,,
,,,,,,,,,,16.07.06(수),"₩23,000",,,,,
,,,,,,,,,,16.07.07(목),"₩23,155",,,,,
,,,,,,,,,,16.07.08(금),"₩23,220",,,,,
,,,,,,,,,,16.07.11(월),"₩23,450",,,,,
,,,,,,,,,,16.07.12(화),"₩23,575",,,,,
,,,,,,,,,,16.07.13(수),"₩23,605",,,,,
,,,,,,,,,,16.07.14(목),"₩23,460",,,,,
,,,,,,,,,,16.07.15(금),"₩23,465",,,,,
,,,,,,,,,,16.07.18(월),"₩23,445",,,,,
,,,,,,,,,,16.07.19(화),"₩23,675",,,,,
,,,,,,,,,,16.07.20(수),"₩23,635",,,,,
,,,,,,,,,,16.07.21(목),"₩23,870",,,,,
,,,,,,,,,,16.07.22(금),"₩23,705",,,,,
,,,,,,,,,,16.07.25(월),"₩23,865",,,,,
,,,,,,,,,,16.07.26(화),"₩23,915",,,,,
,,,,,,,,,,16.07.27(수),"₩24,000",,,,,
,,,,,,,,,,16.07.28(목),"₩23,830",,,,,
,,,,,,,,,,16.07.29(금),"₩23,725",,,,,
,,,,,,,,,,16.08.01(월),"₩23,735",,,,,
,,,,,,,,,,16.08.02(화),"₩23,820",,,,,
,,,,,,,,,,16.08.03(수),"₩23,635",,,,,
,,,,,,,,,,16.08.04(목),"₩23,660",,,,,
,,,,,,,,,,16.08.05(금),"₩23,685",,,,,
,,,,,,,,,,16.08.08(월),"₩23,915",,,,,
,,,,,,,,,,16.08.09(화),"₩23,825",,,,,
,,,,,,,,,,16.08.10(수),"₩23,670",,,,,
,,,,,,,,,,16.08.11(목),"₩23,680",,,,,
,,,,,,,,,,16.08.12(금),"₩23,770",,,,,
,,,,,,,,,,16.08.16(화),"₩23,750",,,,,
,,,,,,,,,,16.08.17(수),"₩23,920",,,,,
,,,,,,,,,,16.08.18(목),"₩23,965",,,,,
,,,,,,,,,,16.08.19(금),"₩24,190",,,,,
,,,,,,,,,,16.08.22(월),"₩24,265",,,,,
,,,,,,,,,,16.08.23(화),"₩24,240",,,,,
,,,,,,,,,,16.08.24(수),"₩24,275",,,,,
,,,,,,,,,,16.08.25(목),"₩24,100",,,,,
,,,,,,,,,,16.08.26(금),"₩23,940",,,,,
,,,,,,,,,,16.08.29(월),"₩24,235",,,,,
,,,,,,,,,,16.08.30(화),"₩24,190",,,,,
,,,,,,,,,,16.08.31(수),"₩24,060",,,,,
,,,,,,,,,,16.09.01(목),"₩24,215",,,,,
,,,,,,,,,,16.09.02(금),"₩24,140",,,,,
,,,,,,,,,,16.09.05(월),"₩24,000",,,,,
,,,,,,,,,,16.09.06(화),"₩23,945",,,,,
,,,,,,,,,,16.09.07(수),"₩23,775",,,,,
,,,,,,,,,,16.09.08(목),"₩23,845",,,,,
,,,,,,,,,,16.09.09(금),"₩23,780",,,,,
,,,,,,,,,,16.09.12(월),"₩23,330",,,,,
,,,,,,,,,,16.09.13(화),"₩23,985",,,,,
,,,,,,,,,,16.09.19(월),"₩24,305",,,,,
,,,,,,,,,,16.09.20(화),"₩24,175",,,,,
,,,,,,,,,,16.09.21(수),"₩24,350",,,,,
,,,,,,,,,,16.09.22(목),"₩24,155",,,,,
,,,,,,,,,,16.09.23(금),"₩24,345",,,,,
,,,,,,,,,,16.09.26(월),"₩24,195",,,,,
