,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,KODEX나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,23.01.06(금),"₩ 3,790",0.5%,44.81%,,"-₩ 54,880",-14,-14,"-₩ 53,060",2730,"₩ 10,399,760","₩ 10,346,700","₩ 4,305,925","₩ 14,652,625",29.39%,39.66%
,,,,,,,,,,23.01.13(금),"₩ 4,230",11.6%,39.25%,,"-₩ 1,201,200",-283,-283,"-₩ 1,197,090",2447,"₩ 11,547,900","₩ 10,350,810","₩ 5,503,015","₩ 15,853,825",34.71%,34.72%
,,,,,,,,,,23.01.20(금),"₩ 4,190",-0.9%,40.88%,,"₩ 65,286",15,15,"₩ 62,850",2462,"₩ 10,252,930","₩ 10,315,780","₩ 5,440,165","₩ 15,755,945",34.53%,35.12%
,,,,,,,,,,23.01.27(금),"₩ 4,630",10.5%,33.94%,,"-₩ 1,083,280",-233,-233,"-₩ 1,078,790",2229,"₩ 11,399,060","₩ 10,320,270","₩ 6,518,955","₩ 16,839,225",38.71%,30.66%
,,,,,,,,,,23.02.03(금),"₩ 5,105",10.3%,27.65%,,"-₩ 1,058,775",-207,-207,"-₩ 1,056,735",2022,"₩ 11,379,045","₩ 10,322,310","₩ 7,575,690","₩ 17,898,000",42.33%,26.30%
,,,,,,,,,,23.02.10(금),"₩ 4,920",-3.6%,26.55%,,"₩ 249,505",50,50,"₩ 246,000",2072,"₩ 9,948,240","₩ 10,194,240","₩ 7,329,690","₩ 17,523,930",41.83%,27.84%
,,,,,,,,,,23.02.17(금),"₩ 4,895",-0.5%,23.28%,,"₩ 34,551",7,7,"₩ 34,265",2079,"₩ 10,142,440","₩ 10,176,705","₩ 7,295,425","₩ 17,472,130",41.75%,28.05%
,,,,,,,,,,23.02.24(금),"₩ 4,725",-3.5%,24.98%,,"₩ 235,738",49,49,"₩ 231,525",2128,"₩ 9,823,275","₩ 10,054,800","₩ 7,063,900","₩ 17,118,700",41.26%,29.51%
,,,,,,,,,,23.03.03(금),"₩ 4,630",-2.0%,26.58%,,"₩ 134,841",29,29,"₩ 134,270",2157,"₩ 9,852,640","₩ 9,986,910","₩ 6,929,630","₩ 16,916,540",40.96%,30.34%
,,,,,,,,,,23.03.10(금),"₩ 4,550",-1.7%,25.31%,,"₩ 115,098",25,25,"₩ 113,750",2182,"₩ 9,814,350","₩ 9,928,100","₩ 6,815,880","₩ 16,743,980",40.71%,31.05%
,,,,,,,,,,23.03.17(금),"₩ 5,040",10.8%,20.82%,,"-₩ 1,069,180",-212,-212,"-₩ 1,068,480",1970,"₩ 10,997,280","₩ 9,928,800","₩ 7,884,360","₩ 17,813,160",44.26%,26.65%
,,,,,,,,,,23.03.24(금),"₩ 5,170",2.6%,20.45%,,"-₩ 256,100",-49,-49,"-₩ 253,330",1921,"₩ 10,184,900","₩ 9,931,570","₩ 8,137,690","₩ 18,069,260",45.04%,25.60%
,,,,,,,,,,23.03.31(금),"₩ 5,360",3.7%,17.70%,,"-₩ 364,990",-68,-68,"-₩ 364,480",1853,"₩ 10,296,560","₩ 9,932,080","₩ 8,502,170","₩ 18,434,250",46.12%,24.09%
,,,,,,,,,,23.04.07(금),"₩ 5,400",0.7%,15.51%,,"-₩ 74,120",-13,-13,"-₩ 70,200",1840,"₩ 10,006,200","₩ 9,936,000","₩ 8,572,370","₩ 18,508,370",46.32%,23.79%
,,,,,,,,,,23.04.14(금),"₩ 5,415",0.3%,16.81%,,"-₩ 27,600",-5,-5,"-₩ 27,075",1835,"₩ 9,963,600","₩ 9,936,525","₩ 8,599,445","₩ 18,535,970",46.39%,23.67%
,,,,,,,,,,23.04.21(금),"₩ 5,335",-1.5%,15.36%,,"₩ 97,916",18,18,"₩ 96,030",1853,"₩ 9,789,725","₩ 9,885,755","₩ 8,503,415","₩ 18,389,170",46.24%,24.28%
,,,,,,,,,,23.04.28(금),"₩ 5,430",1.8%,13.58%,,"-₩ 176,035",-32,-32,"-₩ 173,760",1821,"₩ 10,061,790","₩ 9,888,030","₩ 8,677,175","₩ 18,565,205",46.74%,23.55%
,,,,,,,,,,23.05.04(목),"₩ 5,385",-0.8%,15.52%,,"₩ 54,657",10,10,"₩ 53,850",1831,"₩ 9,806,085","₩ 9,859,935","₩ 8,623,325","₩ 18,483,260",46.65%,23.89%
,,,,,,,,,,23.05.12(금),"₩ 5,650",4.9%,11.89%,,"-₩ 485,215",-85,-85,"-₩ 480,250",1746,"₩ 10,345,150","₩ 9,864,900","₩ 9,103,575","₩ 18,968,475",47.99%,21.89%
,,,,,,,,,,23.05.19(금),"₩ 6,030",6.7%,9.20%,,"-₩ 663,480",-110,-110,"-₩ 663,300",1636,"₩ 10,528,380","₩ 9,865,080","₩ 9,766,875","₩ 19,631,955",49.75%,19.16%
