,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TQQQ주종가,TQ 변동%,QQQ시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,21.06.11(금),27.3100,5.0%,12.34%,,"-$4,869.27",-178,-178,"-$4,861.18",3539,"$101,511.27","$96,650.09","$388,485.90","$485,135.99",80.08%,0.42%
,,,,,,,,,,21.06.18(금),27.6000,1.1%,12.20%,,"-$1,026.31",-37,-37,"-$1,021.20",3502,"$97,676.40","$96,655.20","$389,507.10","$486,162.30",80.12%,0.20%
,,,,,,,,,,21.06.25(금),29.3800,6.4%,13.77%,,"-$6,233.56",-212,-212,"-$6,228.56",3290,"$102,888.76","$96,660.20","$395,735.66","$492,395.86",80.37%,0.00%
,,,,,,,,,,21.07.02(금),31.6800,7.8%,16.04%,,"-$7,567.00",-238,-238,"-$7,539.84",3052,"$104,227.20","$96,687.36","$403,275.50","$499,962.86",80.66%,0.00%
,,,,,,,,,,21.07.09(금),32.2900,1.9%,16.07%,,"-$1,861.72",-57,-57,"-$1,840.53",2995,"$98,549.08","$96,708.55","$405,116.03","$501,824.58",80.73%,0.00%
,,,,,,,,,,21.07.16(금),31.3800,-2.8%,14.26%,,"$1,817.88",57,57,"$1,788.66",3052,"$93,983.10","$95,771.76","$403,327.37","$499,099.13",80.81%,0.54%
,,,,,,,,,,21.07.23(금),34.1400,8.8%,16.87%,,"-$8,423.52",-246,-246,"-$8,398.44",2806,"$104,195.28","$95,796.84","$411,725.81","$507,522.65",81.12%,0.00%
,,,,,,,,,,21.07.30(금),33.1900,-2.8%,14.97%,,"$1,778.02",53,53,"$1,759.07",2859,"$93,131.14","$94,890.21","$409,966.74","$504,856.95",81.20%,0.53%
,,,,,,,,,,21.08.06(금),34.1100,2.8%,15.31%,,"-$2,630.28",-77,-77,"-$2,626.47",2782,"$97,520.49","$94,894.02","$412,593.21","$507,487.23",81.30%,0.01%
,,,,,,,,,,21.08.13(금),34.2800,0.5%,14.80%,,-$472.94,-13,-13,-$445.64,2769,"$95,366.96","$94,921.32","$413,038.85","$507,960.17",81.31%,0.00%
,,,,,,,,,,21.08.20(금),33.9500,-1.0%,13.74%,,$609.48,17,17,$577.15,2786,"$94,007.55","$94,584.70","$412,461.70","$507,046.40",81.35%,0.18%
