,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TQQQ주종가,TQ 변동%,QQQ시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,24.04.26(금),27.6400,11.7%,2.75%,,"-$46,471.56",-1681,-1681,"-$46,462.84",22344,"$664,051.00","$617,588.16","$364,292.47","$981,880.63",37.10%,6.88%
,,,,,,,,,,24.05.03(금),28.3500,2.6%,3.59%,,"-$10,581.45",-373,-373,"-$10,574.55",21971,"$633,452.40","$622,877.85","$374,867.02","$997,744.87",37.57%,5.38%
,,,,,,,,,,24.05.10(금),29.5900,4.4%,4.92%,,"-$18,171.77",-614,-614,"-$18,168.26",21357,"$650,121.89","$631,953.63","$393,035.28","$1,024,988.91",38.35%,2.80%
,,,,,,,,,,24.05.17(금),31.4700,6.4%,6.98%,,"-$40,151.16",-1275,-1275,"-$40,124.25",20082,"$672,104.79","$631,980.54","$433,159.53","$1,065,140.07",40.67%,0.00%
,,,,,,,,,,24.05.24(금),32.6700,3.8%,8.20%,,"-$24,098.40",-737,-737,"-$24,077.79",19345,"$656,078.94","$632,001.15","$457,237.32","$1,089,238.47",41.98%,0.00%
,,,,,,,,,,24.05.31(금),31.2700,-4.3%,6.25%,,"$18,064.36",577,577,"$18,042.79",19922,"$604,918.15","$622,960.94","$439,194.53","$1,062,155.47",41.35%,2.49%
,,,,,,,,,,24.06.07(금),33.5600,7.3%,8.86%,,"-$45,621.38",-1359,-1359,"-$45,608.04",18563,"$668,582.32","$622,974.28","$484,802.57","$1,107,776.85",43.76%,0.00%
,,,,,,,,,,24.06.14(금),37.0900,10.5%,12.30%,,"-$65,527.39",-1766,-1766,"-$65,500.94",16797,"$688,501.67","$623,000.73","$550,303.51","$1,173,304.24",46.90%,0.00%
,,,,,,,,,,24.06.21(금),37.2000,0.3%,12.18%,,"-$1,847.67",-49,-49,"-$1,822.80",16748,"$624,848.40","$623,025.60","$552,126.31","$1,175,151.91",46.98%,0.00%
,,,,,,,,,,24.06.28(금),36.9100,-0.8%,11.56%,,"$3,239.57",87,87,"$3,211.17",16835,"$618,168.68","$621,379.85","$548,915.14","$1,170,294.99",46.90%,0.41%
,,,,,,,,,,24.07.05(금),40.8200,10.6%,15.10%,,"-$65,824.85",-1612,-1612,"-$65,801.84",15223,"$687,204.70","$621,402.86","$614,716.98","$1,236,119.84",49.73%,0.00%
,,,,,,,,,,24.07.12(금),40.3200,-1.2%,14.38%,,"$5,076.87",125,125,"$5,040.00",15348,"$613,791.36","$618,831.36","$609,676.98","$1,228,508.34",49.63%,0.62%
,,,,,,,,,,24.07.19(금),35.5300,-11.9%,9.52%,,"$49,035.79",1380,1380,"$49,031.40",16728,"$545,314.44","$594,345.84","$560,645.58","$1,154,991.42",48.54%,6.56%
,,,,,,,,,,24.07.26(금),32.5400,-8.4%,6.45%,,"$33,361.15",1025,1025,"$33,353.50",17753,"$544,329.12","$577,682.62","$527,292.08","$1,104,974.70",47.72%,10.61%
,,,,,,,,,,24.08.02(금),29.3700,-9.7%,3.02%,,"$37,536.77",1278,1278,"$37,534.86",19031,"$521,405.61","$558,940.47","$489,757.22","$1,048,697.69",46.70%,15.16%
,,,,,,,,,,24.08.09(금),29.4300,0.2%,3.23%,,-$761.62,-25,-25,-$735.75,19006,"$560,082.33","$559,346.58","$490,492.97","$1,049,839.55",46.72%,15.07%
,,,,,,,,,,24.08.16(금),34.3200,16.6%,8.64%,,"-$92,939.34",-2708,-2708,"-$92,938.56",16298,"$652,285.92","$559,347.36","$583,431.53","$1,142,778.89",51.05%,7.55%
,,,,,,,,,,24.08.23(금),35.2700,2.8%,9.51%,,"-$15,483.10",-438,-438,"-$15,448.26",15860,"$574,830.46","$559,382.20","$598,879.79","$1,158,261.99",51.71%,6.30%
,,,,,,,,,,24.08.30(금),34.3100,-2.7%,8.39%,,"$10,155.48",295,295,"$10,121.45",16155,"$544,156.60","$554,278.05","$588,758.34","$1,143,036.39",51.51%,7.53%
,,,,,,,,,,24.09.06(금),28.5000,-16.9%,1.96%,,"$62,604.99",2196,2196,"$62,586.00",18351,"$460,417.50","$523,003.50","$526,172.34","$1,049,175.84",50.15%,15.12%
,,,,,,,,,,24.09.13(금),33.6700,18.1%,7.78%,,"-$94,874.67",-2817,-2817,"-$94,848.39",15534,"$617,878.17","$523,029.78","$621,020.73","$1,144,050.51",54.28%,7.45%
,,,,,,,,,,24.09.20(금),35.0700,4.2%,9.15%,,"-$21,747.60",-620,-620,"-$21,743.40",14914,"$544,777.38","$523,033.98","$642,764.13","$1,165,798.11",55.14%,5.69%
,,,,,,,,,,24.09.27(금),35.9700,2.6%,9.87%,,"-$13,422.60",-373,-373,"-$13,416.81",14541,"$536,456.58","$523,039.77","$656,180.94","$1,179,220.71",55.65%,4.60%
,,,,,,,,,,24.10.04(금),35.9900,0.1%,9.74%,,-$290.82,-8,-8,-$287.92,14533,"$523,330.59","$523,042.67","$656,468.86","$1,179,511.53",55.66%,4.58%
,,,,,,,,,,24.10.11(금),37.1500,3.2%,10.82%,,"-$16,858.28",-453,-453,"-$16,828.95",14080,"$539,900.95","$523,072.00","$673,297.81","$1,196,369.81",56.28%,3.22%
,,,,,,,,,,24.10.18(금),37.3200,0.5%,10.78%,,"-$2,393.60",-64,-64,"-$2,388.48",14016,"$525,465.60","$523,077.12","$675,686.29","$1,198,763.41",56.37%,3.02%
,,,,,,,,,,24.10.25(금),37.3700,0.1%,10.68%,,-$700.80,-18,-18,-$672.66,13998,"$523,777.92","$523,105.26","$676,358.95","$1,199,464.21",56.39%,2.97%
,,,,,,,,,,24.11.01(금),35.4700,-5.1%,8.65%,,"$17,739.67",500,500,"$17,735.00",14498,"$496,509.06","$514,244.06","$658,623.95","$1,172,868.01",56.15%,5.12%
,,,,,,,,,,24.11.08(금),41.3800,16.7%,14.23%,,"-$85,683.18",-2070,-2070,"-$85,656.60",12428,"$599,927.24","$514,270.64","$744,280.55","$1,258,551.19",59.14%,0.00%
,,,,,,,,,,24.11.15(금),37.1400,-10.2%,10.04%,,"$35,147.38",946,946,"$35,134.44",13374,"$461,575.92","$496,710.36","$709,146.11","$1,205,856.47",58.81%,4.19%
,,,,,,,,,,24.11.22(금),39.1300,5.4%,11.76%,,"-$26,614.26",-680,-680,"-$26,608.40",12694,"$523,324.62","$496,716.22","$735,754.51","$1,232,470.73",59.70%,2.07%
,,,,,,,,,,24.11.29(금),39.9500,2.1%,12.30%,,"-$10,409.08",-260,-260,"-$10,387.00",12434,"$507,125.30","$496,738.30","$746,141.51","$1,242,879.81",60.03%,1.25%
,,,,,,,,,,24.12.06(금),43.8700,9.8%,15.59%,,"-$48,741.28",-1111,-1111,"-$48,739.57",11323,"$545,479.58","$496,740.01","$794,881.08","$1,291,621.09",61.54%,0.00%
,,,,,,,,,,24.12.13(금),44.7000,1.9%,16.06%,,"-$9,398.09",-210,-210,"-$9,387.00",11113,"$506,138.10","$496,751.10","$804,268.08","$1,301,019.18",61.82%,0.00%
,,,,,,,,,,24.12.20(금),41.5200,-7.1%,13.09%,,"$23,571.34",567,567,"$23,541.84",11680,"$461,411.76","$484,953.60","$780,726.24","$1,265,679.84",61.68%,2.72%
,,,,,,,,,,24.12.27(금),42.3300,2.0%,13.56%,,"-$9,460.80",-223,-223,"-$9,439.59",11457,"$494,414.40","$484,974.81","$790,165.83","$1,275,140.64",61.97%,1.99%
,,,,,,,,,,25.01.03(금),41.2000,-2.7%,12.33%,,"$8,635.26",209,209,"$8,610.80",11666,"$472,028.40","$480,639.20","$781,555.03","$1,262,194.23",61.92%,2.98%
,,,,,,,,,,25.01.10(금),38.4200,-6.7%,9.53%,,"$21,631.80",563,563,"$21,630.46",12229,"$448,207.72","$469,838.18","$759,924.57","$1,229,762.75",61.79%,5.48%
,,,,,,,,,,25.01.17(금),41.5700,8.2%,12.29%,,"-$38,521.35",-926,-926,"-$38,493.82",11303,"$508,359.53","$469,865.71","$798,418.39","$1,268,284.10",62.95%,2.52%
,,,,,,,,,,25.01.24(금),43.3800,4.4%,13.60%,,"-$20,458.43",-471,-471,"-$20,431.98",10832,"$490,324.14","$469,892.16","$818,850.37","$1,288,742.53",63.54%,0.94%
,,,,,,,,,,25.01.31(금),41.3600,-4.7%,11.64%,,"$14,594.39",352,352,"$14,558.72",11184,"$448,011.52","$462,570.24","$804,291.65","$1,266,861.89",63.49%,2.63%
,,,,,,,,,,25.02.07(금),41.3700,0.0%,11.37%,,-$111.84,-2,-2,-$82.74,11182,"$462,682.08","$462,599.34","$804,374.39","$1,266,973.73",63.49%,2.62%
,,,,,,,,,,25.02.14(금),44.9200,8.6%,14.18%,,"-$39,696.10",-883,-883,"-$39,664.36",10299,"$502,295.44","$462,631.08","$844,038.75","$1,306,669.83",64.59%,0.00%
,,,,,,,,,,25.02.21(금),41.8600,-6.8%,11.33%,,"$21,020.46",502,502,"$21,013.72",10801,"$431,116.14","$452,129.86","$823,025.03","$1,275,154.89",64.54%,2.41%
,,,,,,,,,,25.02.28(금),37.4600,-10.5%,7.33%,,"$31,698.77",846,846,"$31,691.16",11647,"$404,605.46","$436,296.62","$791,333.87","$1,227,630.49",64.46%,6.05%
,,,,,,,,,,25.03.07(금),33.7100,-10.0%,3.78%,,"$29,132.06",864,864,"$29,125.44",12511,"$392,620.37","$421,745.81","$762,208.43","$1,183,954.24",64.38%,9.39%
,,,,,,,,,,25.03.14(금),30.9500,-8.2%,1.28%,,"$23,031.75",744,744,"$23,026.80",13255,"$387,215.45","$410,242.25","$739,181.63","$1,149,423.88",64.31%,12.03%
,,,,,,,,,,25.03.21(금),31.0900,0.5%,1.53%,,"-$1,237.75",-39,-39,"-$1,212.51",13216,"$412,097.95","$410,885.44","$740,394.14","$1,151,279.58",64.31%,11.89%
,,,,,,,,,,25.03.28(금),28.6700,-7.8%,-0.93%,,"$21,332.47",744,744,"$21,330.48",13960,"$378,902.72","$400,233.20","$719,063.66","$1,119,296.86",64.24%,14.34%
,,,,,,,,,,25.04.04(금),20.5500,-28.3%,-10.57%,,"$136,026.24",6619,6619,"$136,020.45",20579,"$286,878.00","$422,898.45","$583,043.21","$1,005,941.66",57.96%,23.01%
,,,,,,,,,,25.04.11(금),24.2900,18.2%,-3.86%,,"-$51,335.96",-2113,-2113,"-$51,324.77",18466,"$499,863.91","$448,539.14","$634,367.98","$1,082,907.12",58.58%,17.12%
,,,,,,,,,,25.04.17(목),22.5800,-7.0%,-5.98%,,"$21,061.77",932,932,"$21,044.56",19398,"$416,962.28","$438,006.84","$613,323.42","$1,051,330.26",58.34%,19.54%
,,,,,,,,,,25.04.25(금),26.9300,19.3%,-0.03%,,"-$56,282.33",-2089,-2089,"-$56,256.77",17309,"$522,388.14","$466,131.37","$669,580.19","$1,135,711.56",58.96%,13.08%
,,,,,,,,,,25.05.02(금),29.7200,10.4%,3.28%,,"-$32,210.84",-1083,-1083,"-$32,186.76",16226,"$514,423.48","$482,236.72","$701,766.95","$1,184,003.67",59.27%,9.39%
,,,,,,,,,,25.05.09(금),29.4900,-0.8%,2.98%,,"$2,489.23",84,84,"$2,477.16",16310,"$478,504.74","$480,981.90","$699,289.79","$1,180,271.69",59.25%,9.67%
,,,,,,,,,,25.05.16(금),35.7300,21.2%,9.80%,,"-$101,774.40",-2848,-2848,"-$101,759.04",13462,"$582,756.30","$480,997.26","$801,048.83","$1,282,046.09",62.48%,1.88%
,,,,,,,,,,25.05.23(금),33.1600,-7.2%,7.00%,,"$23,076.43",695,695,"$23,046.20",14157,"$446,399.92","$469,446.12","$778,002.63","$1,247,448.75",62.37%,4.53%
,,,,,,,,,,25.05.30(금),35.0000,5.5%,8.81%,,"-$26,048.88",-744,-744,"-$26,040.00",13413,"$495,495.00","$469,455.00","$804,042.63","$1,273,497.63",63.14%,2.54%
,,,,,,,,,,25.06.06(금),37.1000,6.0%,10.79%,,"-$28,167.30",-759,-759,"-$28,158.90",12654,"$497,622.30","$469,463.40","$832,201.53","$1,301,664.93",63.93%,0.38%
,,,,,,,,,,25.06.13(금),36.4200,-1.8%,9.87%,,"$5,739.35",157,157,"$5,717.94",12811,"$460,858.68","$466,576.62","$826,483.59","$1,293,060.21",63.92%,1.04%
,,,,,,,,,,25.06.20(금),36.2300,-0.5%,9.57%,,"$1,623.54",44,44,"$1,594.12",12855,"$464,142.53","$465,736.65","$824,889.47","$1,290,626.12",63.91%,1.23%
,,,,,,,,,,25.06.27(금),40.7100,12.4%,13.61%,,"-$57,590.40",-1414,-1414,"-$57,563.94",11441,"$523,327.05","$465,763.11","$882,453.41","$1,348,216.52",65.45%,0.00%
,,,,,,,,,,25.07.03(목),42.4100,4.2%,14.88%,,"-$19,449.70",-458,-458,"-$19,423.78",10983,"$485,212.81","$465,789.03","$901,877.19","$1,367,666.22",65.94%,0.00%
,,,,,,,,,,25.07.11(금),41.8600,-1.3%,14.01%,,"$4,029.11",96,96,"$4,018.56",11079,"$459,748.38","$463,766.94","$897,858.63","$1,361,625.57",65.94%,0.44%
,,,,,,,,,,25.07.18(금),43.3800,3.6%,15.04%,,"-$16,840.08",-388,-388,"-$16,831.44",10691,"$480,607.02","$463,775.58","$914,690.07","$1,378,465.65",66.36%,0.00%
,,,,,,,,,,25.07.25(금),44.4600,2.5%,15.62%,,"-$11,546.28",-259,-259,"-$11,515.14",10432,"$475,321.86","$463,806.72","$926,205.21","$1,390,011.93",66.63%,0.00%
,,,,,,,,,,25.08.01(금),41.4600,-6.7%,12.64%,,"$20,874.43",503,503,"$20,854.38",10935,"$432,510.72","$453,365.10","$905,350.83","$1,358,715.93",66.63%,2.25%
,,,,,,,,,,25.08.08(금),46.0800,11.1%,16.35%,,"-$50,519.70",-1096,-1096,"-$50,503.68",9839,"$503,884.80","$453,381.12","$955,854.51","$1,409,235.63",67.83%,0.00%
,,,,,,,,,,25.08.15(금),46.6300,1.2%,16.38%,,"-$5,411.45",-116,-116,"-$5,409.08",9723,"$458,792.57","$453,383.49","$961,263.59","$1,414,647.08",67.95%,0.00%
,,,,,,,,,,25.08.22(금),45.1900,-3.1%,14.76%,,"$9,338.75",206,206,"$9,309.14",9929,"$439,382.37","$448,691.51","$951,954.45","$1,400,645.96",67.97%,0.99%
,,,,,,,,,,25.08.29(금),44.6800,-1.1%,13.95%,,"$3,377.55",75,75,"$3,351.00",10004,"$443,627.72","$446,978.72","$948,603.45","$1,395,582.17",67.97%,1.35%
,,,,,,,,,,25.09.05(금),45.9100,2.8%,14.62%,,"-$12,304.92",-268,-268,"-$12,303.88",9736,"$459,283.64","$446,979.76","$960,907.33","$1,407,887.09",68.25%,0.48%
,,,,,,,,,,25.09.12(금),48.3800,5.4%,16.24%,,"-$24,047.92",-497,-497,"-$24,044.86",9239,"$471,027.68","$446,982.82","$984,952.19","$1,431,935.01",68.78%,0.00%
,,,,,,,,,,25.09.19(금),51.4900,6.4%,18.22%,,"-$28,733.29",-558,-558,"-$28,731.42",8681,"$475,716.11","$446,984.69","$1,013,683.61","$1,460,668.30",69.40%,0.00%
,,,,,,,,,,25.09.26(금),50.6300,-1.7%,17.03%,,"$4,979.60",98,98,"$4,961.74",8779,"$439,519.03","$444,480.77","$1,008,721.87","$1,453,202.64",69.41%,0.51%
,,,,,,,,,,25.10.03(금),52.3500,3.4%,17.87%,,"-$15,099.88",-288,-288,"-$15,076.80",8491,"$459,580.65","$444,503.85","$1,023,798.67","$1,468,302.52",69.73%,0.00%
,,,,,,,,,,25.10.10(금),48.5400,-7.3%,14.67%,,"$21,577.92",444,444,"$21,551.76",8935,"$412,153.14","$433,704.90","$1,002,246.91","$1,435,951.81",69.80%,2.20%
,,,,,,,,,,25.10.17(금),52.0000,7.1%,16.92%,,"-$30,915.10",-594,-594,"-$30,888.00",8341,"$464,620.00","$433,732.00","$1,033,134.91","$1,466,866.91",70.43%,0.10%
,,,,,,,,,,25.10.24(금),55.2800,6.3%,18.92%,,"-$27,358.48",-494,-494,"-$27,308.32",7847,"$461,090.48","$433,782.16","$1,060,443.23","$1,494,225.39",70.97%,0.00%
,,,,,,,,,,25.10.31(금),58.3600,5.6%,20.56%,,"-$24,168.76",-414,-414,"-$24,161.04",7433,"$457,950.92","$433,789.88","$1,084,604.27","$1,518,394.15",71.43%,0.00%
,,,,,,,,,,25.11.07(금),52.8900,-9.4%,16.29%,,"$27,119.23",512,512,"$27,079.68",7945,"$393,131.37","$420,211.05","$1,057,524.59","$1,477,735.64",71.56%,2.68%
,,,,,,,,,,25.11.14(금),52.3700,-1.0%,15.57%,,"$2,755.64",52,52,"$2,723.24",7997,"$416,079.65","$418,802.89","$1,054,801.35","$1,473,604.24",71.58%,2.95%
,,,,,,,,,,25.11.21(금),47.4800,-9.3%,11.51%,,"$26,083.26",549,549,"$26,066.52",8546,"$379,697.56","$405,764.08","$1,028,734.83","$1,434,498.91",71.71%,5.53%
,,,,,,,,,,25.11.28(금),54.5400,14.9%,16.41%,,"-$60,334.76",-1106,-1106,"-$60,321.24",7440,"$466,098.84","$405,777.60","$1,089,056.07","$1,494,833.67",72.85%,1.55%
,,,,,,,,,,25.12.05(금),56.1500,3.0%,16.96%,,"-$11,978.40",-213,-213,"-$11,959.95",7227,"$417,756.00","$405,796.05","$1,101,016.02","$1,506,812.07",73.07%,0.76%
,,,,,,,,,,25.12.12(금),52.8200,-5.9%,14.16%,,"$16,051.96",303,303,"$16,004.46",7530,"$381,730.14","$397,734.60","$1,085,011.56","$1,482,746.16",73.18%,2.35%
,,,,,,,,,,25.12.19(금),53.5200,1.3%,14.20%,,"-$5,271.00",-98,-98,"-$5,244.96",7432,"$403,005.60","$397,760.64","$1,090,256.52","$1,488,017.16",73.27%,2.00%
,,,,,,,,,,25.12.26(금),55.3100,3.3%,14.85%,,"-$13,303.28",-240,-240,"-$13,274.40",7192,"$411,063.92","$397,789.52","$1,103,530.92","$1,501,320.44",73.50%,1.12%
,,,,,,,,,,26.01.02(금),52.3500,-5.4%,12.29%,,"$14,199.31",271,271,"$14,186.85",7463,"$376,501.20","$390,688.05","$1,089,344.07","$1,480,032.12",73.60%,2.53%
,,,,,,,,,,26.01.09(금),55.7600,6.5%,14.17%,,"-$25,448.83",-456,-456,"-$25,426.56",7007,"$416,136.88","$390,710.32","$1,114,770.63","$1,505,480.95",74.05%,0.85%
,,,,,,,,,,26.01.16(금),54.1400,-2.9%,12.58%,,"$7,571.34",139,139,"$7,525.46",7146,"$379,358.98","$386,884.44","$1,107,245.17","$1,494,129.61",74.11%,1.60%
,,,,,,,,,,26.01.23(금),54.3800,0.4%,12.27%,,"-$1,715.04",-31,-31,"-$1,685.78",7115,"$388,599.48","$386,913.70","$1,108,930.95","$1,495,844.65",74.13%,1.49%
,,,,,,,,,,26.01.30(금),54.0000,-0.7%,11.51%,,"$1,803.37",33,33,"$1,782.00",7148,"$384,210.00","$385,992.00","$1,107,148.95","$1,493,140.95",74.15%,1.66%
,,,,,,,,,,26.02.06(금),50.5900,-6.3%,8.75%,,"$16,257.91",321,321,"$16,239.39",7469,"$361,617.32","$377,856.71","$1,090,909.56","$1,468,766.27",74.27%,3.27%
,,,,,,,,,,26.02.13(금),48.4700,-4.2%,6.86%,,"$10,561.46",217,217,"$10,517.99",7686,"$362,022.43","$372,540.42","$1,080,391.57","$1,452,931.99",74.36%,4.31%
,,,,,,,,,,26.02.20(금),50.0600,3.3%,7.59%,,"-$12,220.74",-244,-244,"-$12,214.64",7442,"$384,761.16","$372,546.52","$1,092,606.21","$1,465,152.73",74.57%,3.51%
,,,,,,,,,,26.02.27(금),49.5200,-1.1%,6.86%,,"$2,680.46",54,54,"$2,674.08",7496,"$368,527.84","$371,201.92","$1,089,932.13","$1,461,134.05",74.59%,3.77%
,,,,,,,,,,26.03.06(금),,,,,,,,,,,,,,,
