,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TIGER나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,22.12.23(금),"₩ 6,365",-10.5%,41.43%,,"₩ 841,421",132,132,"₩ 840,180",1814,"₩ 10,705,930","₩ 11,546,110","₩ 4,314,930","₩ 15,861,040",27.20%,33.43%
,,,,,,,,,,22.12.29(목),"₩ 5,920",-7.0%,45.86%,,"₩ 538,422",90,90,"₩ 532,800",1904,"₩ 10,738,880","₩ 11,271,680","₩ 3,782,130","₩ 15,053,810",25.12%,36.81%
,,,,,,,,,,23.01.06(금),"₩ 5,995",1.3%,44.81%,,"-₩ 142,800",-23,-23,"-₩ 137,885",1881,"₩ 11,414,480","₩ 11,276,595","₩ 3,920,015","₩ 15,196,610",25.80%,36.21%
,,,,,,,,,,23.01.13(금),"₩ 6,445",7.5%,39.25%,,"-₩ 846,450",-131,-131,"-₩ 844,295",1750,"₩ 12,123,045","₩ 11,278,750","₩ 4,764,310","₩ 16,043,060",29.70%,32.66%
,,,,,,,,,,23.01.20(금),"₩ 6,270",-2.7%,40.88%,,"₩ 204,269",32,32,"₩ 200,640",1782,"₩ 10,972,500","₩ 11,173,140","₩ 4,563,670","₩ 15,736,810",29.00%,33.95%
,,,,,,,,,,23.01.27(금),"₩ 6,930",10.5%,33.94%,,"-₩ 1,176,120",-169,-169,"-₩ 1,171,170",1613,"₩ 12,349,260","₩ 11,178,090","₩ 5,734,840","₩ 16,912,930",33.91%,29.01%
,,,,,,,,,,23.02.03(금),"₩ 7,625",10.0%,27.65%,,"-₩ 1,121,035",-147,-147,"-₩ 1,120,875",1466,"₩ 12,299,125","₩ 11,178,250","₩ 6,855,715","₩ 18,033,965",38.02%,24.31%
,,,,,,,,,,23.02.10(금),"₩ 7,770",1.9%,26.55%,,"-₩ 212,570",-27,-27,"-₩ 209,790",1439,"₩ 11,390,820","₩ 11,181,030","₩ 7,065,505","₩ 18,246,535",38.72%,23.41%
,,,,,,,,,,23.02.17(금),"₩ 8,180",5.3%,23.28%,,"-₩ 589,990",-72,-72,"-₩ 588,960",1367,"₩ 11,771,020","₩ 11,182,060","₩ 7,654,465","₩ 18,836,525",40.64%,20.94%
,,,,,,,,,,23.02.24(금),"₩ 7,955",-2.8%,24.98%,,"₩ 205,153",25,25,"₩ 198,875",1392,"₩ 10,874,485","₩ 11,073,360","₩ 7,455,590","₩ 18,528,950",40.24%,22.23%
