,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TIMEFOLIO나스닥액티브,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,23.01.13(금),"₩ 8,880",3.1%,39.25%,,"-₩ 440,960",-49,-49,"-₩ 435,120",1615,"₩ 14,776,320","₩ 14,341,200","₩ 4,503,930","₩ 18,845,130",23.90%,16.03%
,,,,,,,,,,23.01.20(금),"₩ 8,780",-1.1%,40.88%,,"₩ 107,721",12,12,"₩ 105,360",1627,"₩ 14,179,700","₩ 14,285,060","₩ 4,398,570","₩ 18,683,630",23.54%,16.75%
,,,,,,,,,,23.01.27(금),"₩ 9,280",5.7%,33.94%,,"-₩ 813,500",-87,-87,"-₩ 807,360",1540,"₩ 15,098,560","₩ 14,291,200","₩ 5,205,930","₩ 19,497,130",26.70%,13.13%
,,,,,,,,,,23.02.03(금),"₩ 9,690",4.4%,27.65%,,"-₩ 631,400",-65,-65,"-₩ 629,850",1475,"₩ 14,922,600","₩ 14,292,750","₩ 5,835,780","₩ 20,128,530",28.99%,10.31%
,,,,,,,,,,23.02.10(금),"₩ 9,740",0.5%,26.55%,,"-₩ 73,750",-7,-7,"-₩ 68,180",1468,"₩ 14,366,500","₩ 14,298,320","₩ 5,903,960","₩ 20,202,280",29.22%,9.98%
,,,,,,,,,,23.02.17(금),"₩ 9,990",2.6%,23.28%,,"-₩ 367,000",-36,-36,"-₩ 359,640",1432,"₩ 14,665,320","₩ 14,305,680","₩ 6,263,600","₩ 20,569,280",30.45%,8.35%
,,,,,,,,,,23.02.24(금),"₩ 9,805",-1.9%,24.98%,,"₩ 176,702",18,18,"₩ 176,490",1450,"₩ 14,040,760","₩ 14,217,250","₩ 6,087,110","₩ 20,304,360",29.98%,9.53%
,,,,,,,,,,23.03.03(금),"₩ 9,690",-1.2%,26.58%,,"₩ 111,222",11,11,"₩ 106,590",1461,"₩ 14,050,500","₩ 14,157,090","₩ 5,980,520","₩ 20,137,610",29.70%,10.27%
,,,,,,,,,,23.03.10(금),"₩ 9,735",0.5%,25.31%,,"-₩ 65,745",-6,-6,"-₩ 58,410",1455,"₩ 14,222,835","₩ 14,164,425","₩ 6,038,930","₩ 20,203,355",29.89%,9.98%
,,,,,,,,,,23.03.17(금),"₩ 10,155",4.3%,20.82%,,"-₩ 611,100",-60,-60,"-₩ 609,300",1395,"₩ 14,775,525","₩ 14,166,225","₩ 6,648,230","₩ 20,814,455",31.94%,7.26%
,,,,,,,,,,23.03.24(금),"₩ 10,415",2.6%,20.45%,,"-₩ 362,700",-34,-34,"-₩ 354,110",1361,"₩ 14,528,925","₩ 14,174,815","₩ 7,002,340","₩ 21,177,155",33.07%,5.64%
,,,,,,,,,,23.03.31(금),"₩ 10,725",3.0%,17.70%,,"-₩ 421,910",-39,-39,"-₩ 418,275",1322,"₩ 14,596,725","₩ 14,178,450","₩ 7,420,615","₩ 21,599,065",34.36%,3.76%
,,,,,,,,,,23.04.07(금),"₩ 10,755",0.3%,15.51%,,"-₩ 39,660",-3,-3,"-₩ 32,265",1319,"₩ 14,218,110","₩ 14,185,845","₩ 7,452,880","₩ 21,638,725",34.44%,3.58%
,,,,,,,,,,23.04.14(금),"₩ 10,580",-1.6%,16.81%,,"₩ 153,960",14,14,"₩ 148,120",1333,"₩ 13,955,020","₩ 14,103,140","₩ 7,304,760","₩ 21,407,900",34.12%,4.61%
,,,,,,,,,,23.04.21(금),"₩ 10,680",0.9%,15.36%,,"-₩ 133,300",-12,-12,"-₩ 128,160",1321,"₩ 14,236,440","₩ 14,108,280","₩ 7,432,920","₩ 21,541,200",34.51%,4.02%
,,,,,,,,,,23.04.28(금),"₩ 10,875",1.8%,13.58%,,"-₩ 257,595",-23,-23,"-₩ 250,125",1298,"₩ 14,365,875","₩ 14,115,750","₩ 7,683,045","₩ 21,798,795",35.25%,2.87%
,,,,,,,,,,23.05.04(목),"₩ 10,710",-1.5%,15.52%,,"₩ 142,851",13,13,"₩ 139,230",1311,"₩ 13,901,580","₩ 14,040,810","₩ 7,543,815","₩ 21,584,625",34.95%,3.82%
,,,,,,,,,,23.05.12(금),"₩ 11,240",4.9%,11.89%,,"-₩ 694,830",-61,-61,"-₩ 685,640",1250,"₩ 14,735,640","₩ 14,050,000","₩ 8,229,455","₩ 22,279,455",36.94%,0.73%
,,,,,,,,,,23.05.19(금),"₩ 11,690",4.0%,9.20%,,"-₩ 562,500",-48,-48,"-₩ 561,120",1202,"₩ 14,612,500","₩ 14,051,380","₩ 8,790,575","₩ 22,841,955",38.48%,0.00%
,,,,,,,,,,23.05.26(금),"₩ 12,055",3.1%,8.93%,,"-₩ 438,730",-36,-36,"-₩ 433,980",1166,"₩ 14,490,110","₩ 14,056,130","₩ 9,224,555","₩ 23,280,685",39.62%,0.00%
,,,,,,,,,,23.06.02(금),"₩ 12,415",3.0%,6.61%,,"-₩ 419,760",-33,-33,"-₩ 409,695",1133,"₩ 14,475,890","₩ 14,066,195","₩ 9,634,250","₩ 23,700,445",40.65%,0.00%
,,,,,,,,,,23.06.09(금),"₩ 12,230",-1.5%,7.97%,,"₩ 139,807",11,11,"₩ 134,530",1144,"₩ 13,856,590","₩ 13,991,120","₩ 9,499,720","₩ 23,490,840",40.44%,0.88%
,,,,,,,,,,23.06.16(금),"₩ 12,825",4.9%,4.90%,,"-₩ 454,014",-35,-35,"-₩ 448,875",1109,"₩ 14,671,800","₩ 14,222,925","₩ 9,948,595","₩ 24,171,520",41.16%,0.00%
,,,,,,,,,,23.06.23(금),"₩ 12,790",-0.3%,4.09%,,"₩ 25,890",2,2,"₩ 25,580",1111,"₩ 14,184,110","₩ 14,209,690","₩ 9,923,015","₩ 24,132,705",41.12%,0.16%
,,,,,,,,,,23.06.30(금),"₩ 12,895",0.8%,3.29%,,"-₩ 77,809",-6,-6,"-₩ 77,370",1105,"₩ 14,326,345","₩ 14,248,975","₩ 10,000,385","₩ 24,249,360",41.24%,0.00%
,,,,,,,,,,23.07.07(금),"₩ 12,915",0.2%,4.02%,,"-₩ 14,741",-1,-1,"-₩ 12,915",1104,"₩ 14,271,075","₩ 14,258,160","₩ 10,013,300","₩ 24,271,460",41.26%,0.00%
,,,,,,,,,,23.07.14(금),"₩ 13,010",0.7%,4.04%,,"-₩ 69,955",-5,-5,"-₩ 65,050",1099,"₩ 14,363,040","₩ 14,297,990","₩ 10,078,350","₩ 24,376,340",41.34%,0.00%
,,,,,,,,,,23.07.21(금),"₩ 13,050",0.3%,3.66%,,"-₩ 29,321",-2,-2,"-₩ 26,100",1097,"₩ 14,341,950","₩ 14,315,850","₩ 10,104,450","₩ 24,420,300",41.38%,0.00%
,,,,,,,,,,23.07.28(금),"₩ 13,000",-0.4%,4.38%,,"₩ 36,585",2,2,"₩ 26,000",1099,"₩ 14,261,000","₩ 14,287,000","₩ 10,078,450","₩ 24,365,450",41.36%,0.22%
,,,,,,,,,,23.08.04(금),"₩ 13,300",2.3%,2.67%,,"-₩ 219,910",-16,-16,"-₩ 212,800",1083,"₩ 14,616,700","₩ 14,403,900","₩ 10,291,250","₩ 24,695,150",41.67%,0.00%
