Date,Close,Open,High,Low,Volume
2022-10-19,75329.37,75329.37,75329.37,75329.37,0
2022-10-20,75128.5,75128.5,75128.5,75128.5,0
2022-10-21,76603.94,76603.94,76603.94,76603.94,0
2022-10-24,76507.02,76507.02,76507.02,76507.02,0
2022-10-25,76026.59,76026.59,76026.59,76026.59,0
2022-10-26,76116.57,76116.57,76116.57,76116.57,0
2022-10-27,75948.47,75948.47,75948.47,75948.47,0
2022-10-28,75327.12,75327.12,75327.12,75327.12,0
2022-10-31,75365.43,75365.43,75365.43,75365.43,0
2022-11-01,75258.5,75258.5,75258.5,75258.5,0
2022-11-02,75446.01,75446.01,75446.01,75446.01,0
2022-11-03,74312.3,74312.3,74312.3,74312.3,0
2022-11-04,76100.57,76100.57,76100.57,76100.57,0
2022-11-07,75374.84,75374.84,75374.84,75374.84,0
2022-11-08,74416.43,74416.43,74416.43,74416.43,0
2022-11-09,75147.66,75147.66,75147.66,75147.66,0
2022-11-10,75878.15,75878.15,75878.15,75878.15,0
2022-11-11,74910.72,74910.72,74910.72,74910.72,0
2022-11-14,75045.91,75045.91,75045.91,75045.91,0
2022-11-15,75166.49,75166.49,75166.49,75166.49,0
2022-11-16,75899.22,75899.22,75899.22,75899.22,0
2022-11-17,76499.13,76499.13,76499.13,76499.13,0
2022-11-18,75916.96,75916.96,75916.96,75916.96,0
2022-11-21,76109.63,76109.63,76109.63,76109.63,0
2022-11-22,76156.32,76156.32,76156.32,76156.32,0
2022-11-23,75713.74,75713.74,75713.74,75713.74,0
2022-11-24,75111.89,75111.89,75111.89,75111.89,0
2022-11-25,75128.74,75128.74,75128.74,75128.74,0
2022-11-28,75448.62,75448.62,75448.62,75448.62,0
2022-11-29,75031.46,75031.46,75031.46,75031.46,0
2022-11-30,74546.28,74546.28,74546.28,74546.28,0
2022-12-01,74868.61,74868.61,74868.61,74868.61,0
2022-12-02,75075.76,75075.76,75075.76,75075.76,0
2022-12-05,74920.73,74920.73,74920.73,74920.73,0
