,open,high,low,close,volume,value,SMA_20,SMA_20_Slope,SMA_5,SMA_5_Slope,SMA_40,SMA_40_Slope,SMA_60,SMA_60_Slope,SMA_120,SMA_120_Slope,SMA_5_20_Cross,SMA_20_60_Cross,RSI_14,Disparity_20,Disparity_60,MACD,MACD_Signal,MACD_Hist,MACD_Cross,BB_Upper,BB_Lower,BB_Width,Volatility,signal,equity,peak,drawdown,daily_return,year
2020-03-02 09:00:00,10358000.0,10749000.0,10326000.0,10675000.0,3010.56353784,31672027841.03262,11297600.0,-57200.0,10539400.0,-13200.0,11041600.0,18825.0,10482883.333333334,43966.66666666791,,,0,1,36.79473866389755,-5.510904970967285,1.8326700828175395,-98153.3616230879,78908.82240045913,-177062.18402354704,0,12325905.995826451,10269294.004173549,0.1820397245125427,41.245911990158426,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
2020-03-03 09:00:00,10675000.0,10689000.0,10405000.0,10502000.0,2858.43820794,30119548760.45767,11233050.0,-64550.0,10500000.0,-39400.0,11060400.0,18800.0,10516683.333333334,33800.0,,,0,1,24.906085649887302,-6.508027650549049,-0.13961943008014838,-123659.76326929033,38395.10526650924,-162054.86853579956,0,12292040.27876856,10174059.72123144,0.18854901896965828,41.505944935885616,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
2020-03-04 09:00:00,10502000.0,10588000.0,10420000.0,10503000.0,2250.68759875,23622827783.23433,11168550.0,-64500.0,10485600.0,-14400.0,11077650.0,17250.0,10550366.666666666,33683.33333333209,,,0,1,29.64285714285714,-5.95914420403723,-0.44895754018027223,-142154.41113148257,2285.201986910881,-144439.61311839346,0,12240995.405309016,10096104.594690984,0.1920473840040141,41.508412723379706,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
2020-03-05 09:00:00,10504000.0,10869000.0,10494000.0,10791000.0,3582.13634673,38380097237.09234,11115850.0,-52700.0,10569000.0,83400.0,11103800.0,26150.0,10589316.666666666,38950.0,,,0,1,34.956665290961624,-2.9224035948667892,1.9045925217082056,-132050.1675918158,-24581.871928834462,-107468.29566298136,0,12151282.739435418,10080417.260564582,0.18629843681507355,43.67649687555954,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
2020-03-06 09:00:00,10791000.0,10890000.0,10720000.0,10840000.0,2353.86089792,25470551278.05139,11082700.0,-33150.0,10662200.0,93200.0,11125650.0,21850.0,10622216.666666666,32900.0,,,0,1,36.57142857142857,-2.1898995732086948,2.0502625785892206,-118720.06034459174,-43409.50961198592,-75310.55073260581,0,12108350.417514352,10057049.582485648,0.18509035118055206,42.39340819026661,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
2020-03-07 09:00:00,10852000.0,10980000.0,10648000.0,10678000.0,2335.98366227,25243997328.05842,11033650.0,-49050.0,10662800.0,600.0,11139300.0,13650.0,10643550.0,21333.333333333954,,,0,1,34.32950191570882,-3.223321385035777,0.3236702040202752,-119846.38588771038,-58696.884867130815,-61149.50102057956,0,12036839.287905537,10030460.712094463,0.18184178180484908,42.036723184506656,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
2020-03-08 09:00:00,10678000.0,10699000.0,9820000.0,9876000.0,5043.98089229,51846074009.69201,10955550.0,-78100.0,10537600.0,-125200.0,11121950.0,-17350.0,10656733.333333334,13183.333333333954,,,0,1,20.253565768621243,-9.853909662225995,-7.3261975214418475,-183340.27187291533,-83625.56226828773,-99714.7096046276,0,12063892.427610755,9847207.572389245,0.20233442001738935,51.593205343737104,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
2020-03-09 09:00:00,9883000.0,10064000.0,9356000.0,9726000.0,7692.57580749,74351398658.28822,10849950.0,-105600.0,10382200.0,-155400.0,11098350.0,-23600.0,10669816.666666666,13083.333333332092,,,0,1,20.062794348508646,-10.359033912598676,-8.845669013369484,-242962.65807929635,-115492.98143048947,-127469.67664880688,0,12005718.775818888,9694181.224181112,0.21304591741323933,48.092709907253266,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
2020-03-10 09:00:00,9726000.0,9849000.0,9413000.0,9574000.0,4439.33233281,42778061109.16792,10757900.0,-92050.0,10138800.0,-243400.0,11068225.0,-30125.0,10675500.0,5683.333333333954,,,0,1,21.061305207646683,-11.004935907565603,-10.318017891433657,-299031.90473011695,-152200.76609041495,-146831.138639702,0,12013150.849327272,9502649.150672728,0.2333635466638046,46.73124569568992,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
2020-03-11 09:00:00,9574000.0,9637000.0,9163000.0,9510000.0,4110.01716377,38718191633.9791,10657400.0,-100500.0,9872800.0,-266000.0,11036450.0,-31775.0,10683000.0,7500.0,,,0,0,25.468314069350342,-10.76622816071462,-10.980061780398763,-344658.4437901005,-190692.30163035207,-153966.14215974844,0,11975996.766103627,9338803.233896373,0.247451867454281,46.06586624900613,SELL,907813.2717621183,1001529.2699433212,-9.357289995778807,0.0,2020
